Id,Label,d3,d2,d1,d0,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Filter,X,Y,Size,Color
06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,pop,100,110764501,Taylor Swift,0.373684,3,0.366175,0.392302,145.583364,0,,-254.50174,188.676727,11.590098,"#73c000"
0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx,"pop, post-teen pop",79,49330906,Selena Gomez,0.378307,5,0.299873,0.345162,1084.791879,0,,-385.463196,384.995056,21.848373,"#73c000"
1McMsnEElThX1knmY4oliG,1McMsnEElThX1knmY4oliG,pop,86,36034194,Olivia Rodrigo,0.252632,4,0.372828,0.408722,3011.600386,1,,37.423988,-47.380772,42.893467,"#df89ff"
6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,pop,81,33120281,Katy Perry,0.309117,6,0.279787,0.331427,910.118106,3,,-703.77594,196.235611,19.940542,"#4c463e"
66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,pop,90,96443739,Ariana Grande,0.310277,5,0.340303,0.375318,1505.638577,0,,-334.309692,83.974289,26.444967,"#73c000"
6KImCVD70vtIoJWnq6nGn3,6KImCVD70vtIoJWnq6nGn3,pop,82,32074672,Harry Styles,0.307692,4,0.35569,0.389831,2957.511394,0,,-162.40831,291.628021,42.302692,"#73c000"
4nDoRrQiYLoBzwC5BhVJzF,4nDoRrQiYLoBzwC5BhVJzF,"dance pop, pop",78,32958795,Camila Cabello,0.355914,6,0.294264,0.340784,564.699473,0,,-414.936035,434.412537,16.167791,"#73c000"
4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq,"boy band, pop, post-teen pop, talent show",81,34965207,One Direction,0.411255,5,0.321088,0.361829,2072.255721,0,,-312.271149,617.000305,32.633705,"#73c000"
6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp,"pop, post-teen pop",74,26356475,Demi Lovato,0.3,6,0.264722,0.324929,933.855816,0,,-564.117676,473.825714,20.199812,"#73c000"
6JL8zeS1NmiOftqZTRgdTz,6JL8zeS1NmiOftqZTRgdTz,"hip pop, pop",75,14918886,Meghan Trainor,0.339947,7,0.26502,0.327613,1004.890988,0,,-547.252625,346.919952,20.975676,"#73c000"
74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,pop,84,8452800,Sabrina Carpenter,0.206522,5,0.360031,0.403107,6494.425164,2,true,209.555161,323.251343,80.933769,"#ff5584"
5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,pop,81,23909020,Miley Cyrus,0.266667,6,0.267271,0.327401,858.168389,3,,-686.985657,247.695007,19.373135,"#4c463e"
7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop, pop, viral pop",79,42602407,Shawn Mendes,0.345161,6,0.290104,0.336758,363.526419,0,,-403.122528,589.169067,13.970529,"#73c000"
6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop",87,43403884,Dua Lipa,0.343305,5,0.321745,0.360593,2033.984502,0,,-481.329315,227.64325,32.215698,"#73c000"
1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"canadian pop, pop",86,75022387,Justin Bieber,0.395238,5,0.315719,0.357768,764.079247,0,,-535.251892,587.367493,18.345469,"#73c000"
00FQb4jTyendYWaN8pK0wa,00FQb4jTyendYWaN8pK0wa,"art pop, pop",88,35215662,Lana Del Rey,0.270751,5,0.342029,0.3881,2396.781279,1,,273.267365,-713.360046,36.178253,"#df89ff"
26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,"electropop, etherpop, indie poptimism, pop",78,21450056,Halsey,0.319355,6,0.295554,0.346716,1441.725504,0,,-316.695465,366.196777,25.746895,"#73c000"
6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop",90,94303576,Billie Eilish,0.288095,5,0.359756,0.394739,1495.296866,1,,-193.282974,-128.190186,26.332014,"#df89ff"
6VuMaDnrHyPL1p4EHjYLi7,6VuMaDnrHyPL1p4EHjYLi7,"pop, viral pop",78,22644063,Charlie Puth,0.31339,6,0.280285,0.339407,582.584619,0,,-497.882538,637.851929,16.363136,"#73c000"
5ZsFI1h6hIdQRw2ti0hz81,5ZsFI1h6hIdQRw2ti0hz81,"pop, uk pop",74,22897195,ZAYN,0.381538,5,0.30432,0.346645,626.97077,0,,-287.263794,585.854553,16.847935,"#73c000"
4Uc8Dsxct0oMqx0P6i60ea,4Uc8Dsxct0oMqx0P6i60ea,"bedroom pop, pop, pov: indie",76,9619521,Conan Gray,0.166667,6,0.316354,0.362677,8240.056939,1,true,372.248535,-432.173035,100,"#df89ff"
6dJeKm76NjfXBNTpHmOhfO,6dJeKm76NjfXBNTpHmOhfO,pop,64,9640776,Selena Gomez & The Scene,0.151515,6,0.255273,0.30685,791.544513,2,,-295.655151,847.52179,18.645451,"#ff5584"
1l8Fu6IkuTP0U5QetQJ5Xt,1l8Fu6IkuTP0U5QetQJ5Xt,"girl group, pop, talent show",65,16076780,Fifth Harmony,0.309269,7,0.262222,0.324011,1026.617046,0,,-439.045044,504.667694,21.212975,"#73c000"
4Rxn7Im3LGfyRkY2FlHhWi,4Rxn7Im3LGfyRkY2FlHhWi,"dance pop, pop",60,9853920,Nick Jonas,0.289247,6,0.267877,0.323129,1315.025244,0,,-338.003204,705.984863,24.363041,"#73c000"
64M6ah0SkkRsnPGtGiRAbb,64M6ah0SkkRsnPGtGiRAbb,"dance pop, pop",77,9077761,Bebe Rexha,0.265244,6,0.289393,0.342832,2918.396187,0,,-479.057159,399.441315,41.875469,"#73c000"
1zNqDE7qDGCsyzJwohVaoX,1zNqDE7qDGCsyzJwohVaoX,pop,75,11838088,Anne-Marie,0.308468,6,0.278302,0.33065,537.977746,0,,-493.75589,537.196777,15.87593,"#73c000"
3e7awlrlDSwF3iM0WBjGMp,3e7awlrlDSwF3iM0WBjGMp,"girl group, pop, talent show, uk pop",70,11858006,Little Mix,0.291331,6,0.269253,0.325141,1007.167994,0,,-350.325745,519.583984,21.000546,"#73c000"
1Xylc3o4UrD53lo9CvFvVg,1Xylc3o4UrD53lo9CvFvVg,"pop, scandipop, swedish electropop, swedish pop",74,10415413,Zara Larsson,0.253782,6,0.277974,0.32726,782.991722,0,,-486.00116,473.807404,18.552036,"#73c000"
5p7f24Rk5HkUZsaS3BLG5F,5p7f24Rk5HkUZsaS3BLG5F,pop,65,8786542,Hailee Steinfeld,0.280952,6,0.273306,0.328637,1204.235117,0,,-215.682953,536.344238,23.152962,"#73c000"
2wUjUUtkb5lvLKcGKsKqsR,2wUjUUtkb5lvLKcGKsKqsR,"canadian contemporary r&b, canadian pop, pop",69,11760899,Alessia Cara,0.297701,7,0.273782,0.332592,850.181772,0,,-286.538055,467.688904,19.285902,"#73c000"
6sCbFbEjbYepqswM1vWjjs,6sCbFbEjbYepqswM1vWjjs,"pop, post-teen pop",66,4647182,Zendaya,0.154839,6,0.244813,0.289619,1731.90628,2,,64.229408,893.076355,28.916323,"#ff5584"
45dkTj5sMRSjrmBSBeiHym,45dkTj5sMRSjrmBSBeiHym,pop,81,5326125,Tate McRae,0.1,5,0.332629,0.374435,1739.825829,6,,315.873383,179.336838,29.002821,"#00bd94"
2kRfqPViCqYdSGhYSM9R0Q,2kRfqPViCqYdSGhYSM9R0Q,pop,72,6541475,Madison Beer,0.227273,6,0.32755,0.377825,1839.40446,0,,91.207314,306.20166,30.090445,"#73c000"
5cj0lLjcoR7YOSnhnX0Po5,5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop",84,29856668,Doja Cat,0.148221,5,0.339324,0.378107,5130.262802,1,,-132.407562,-429.624359,66.034042,"#df89ff"
4tuJ0bMpJh08umKkEXKUI5,4tuJ0bMpJh08umKkEXKUI5,alt z,73,1790904,Gracie Abrams,0.090909,6,0.302177,0.349929,1602.92604,7,true,548.703003,6.438036,27.507566,"#ff8805"
2W8yFh0Ga6Yf3jiayVxwkE,2W8yFh0Ga6Yf3jiayVxwkE,pop,67,4938480,Dove Cameron,0.13,6,0.274419,0.313983,1670.529009,2,,303.112885,842.036743,28.245945,"#ff5584"
63yrD80RY3RNEM2YDpUpO8,63yrD80RY3RNEM2YDpUpO8,"alt z, electropop, pop",79,20192056,Melanie Martinez,0.199134,6,0.301983,0.345516,1739.081674,1,,396.22348,-696.485718,28.994694,"#df89ff"
4VdV2qRAYBLINR6uU72V1J,4VdV2qRAYBLINR6uU72V1J,singer-songwriter pop,56,1071657,Joshua Bassett,0.021429,6,0.277158,0.318821,1443.860146,7,,723.652954,392.006561,25.770208,"#ff8805"
7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap",88,20062292,SZA,0.052536,6,0.265318,0.302613,1480.324814,1,,-94.966347,-771.161438,26.168484,"#df89ff"
3uwAm6vQy7kWPS2bciKWx9,3uwAm6vQy7kWPS2bciKWx9,"bedroom pop, indie pop, norwegian indie, pov: indie",72,7183366,girl in red,0.212251,7,0.257923,0.307188,1858.847424,1,,531.512024,-821.096252,30.302805,"#df89ff"
26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,"dance pop, pop",78,14447706,Britney Spears,0.223077,7,0.236355,0.290401,498.953497,3,,-974.694824,40.450577,15.449697,"#4c463e"
