Id,Label,d3,d2,d1,d0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Filter,X,Y,Size,Color
06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,pop,100,110764501,Taylor Swift,32,0.056614,0.122464,0,0,,934.679688,-166.658951,10,"#00c4ff"
0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx,"pop, post-teen pop",79,49330906,Selena Gomez,0,0,0,0,0,,769.807007,-15.697618,10,"#00c4ff"
1McMsnEElThX1knmY4oliG,1McMsnEElThX1knmY4oliG,pop,86,36034194,Olivia Rodrigo,0,0,0,0,0,,723.641846,-134.209549,10,"#00c4ff"
6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,pop,81,33120281,Katy Perry,0,0,0,0,0,,829.073364,-127.388565,10,"#00c4ff"
66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,pop,90,96443739,Ariana Grande,0,0,0,0,0,,861.477783,76.18718,10,"#00c4ff"
6KImCVD70vtIoJWnq6nGn3,6KImCVD70vtIoJWnq6nGn3,pop,82,32074672,Harry Styles,0,0,0,0,0,,1098.942749,-25.797651,10,"#00c4ff"
4nDoRrQiYLoBzwC5BhVJzF,4nDoRrQiYLoBzwC5BhVJzF,"dance pop, pop",78,32958795,Camila Cabello,0,0,0,0,0,,735.664429,-247.117538,10,"#00c4ff"
4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq,"boy band, pop, post-teen pop, talent show",81,34965207,One Direction,0,0,0,0,0,,1084.650269,80.013351,10,"#00c4ff"
6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp,"pop, post-teen pop",74,26356475,Demi Lovato,0,0,0,0,0,,936.369263,166.879639,10,"#00c4ff"
6JL8zeS1NmiOftqZTRgdTz,6JL8zeS1NmiOftqZTRgdTz,"hip pop, pop",75,14918886,Meghan Trainor,0,0,0,0,0,,1018.595581,-348.033783,10,"#00c4ff"
74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,pop,84,8452800,Sabrina Carpenter,0,0,0,0,0,,1043.833862,-468.697388,10,"#00c4ff"
5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,pop,81,23909020,Miley Cyrus,0,0,0,0,0,,1011.590698,-239.312439,10,"#00c4ff"
7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop, pop, viral pop",79,42602407,Shawn Mendes,0,0,0,0,0,,1090.041992,-146.881561,10,"#00c4ff"
6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop",87,43403884,Dua Lipa,0,0,0,0,0,,908.334534,-336.345825,10,"#00c4ff"
1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"canadian pop, pop",86,75022387,Justin Bieber,0,0,0,0,0,,760.021667,110.618393,10,"#00c4ff"
00FQb4jTyendYWaN8pK0wa,00FQb4jTyendYWaN8pK0wa,"art pop, pop",88,35215662,Lana Del Rey,0,0,0,0,0,,792.007996,-356.860199,10,"#00c4ff"
26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,"electropop, etherpop, indie poptimism, pop",78,21450056,Halsey,0,0,0,0,0,,1127.306641,-275.140045,10,"#00c4ff"
6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop",90,94303576,Billie Eilish,0,0,0,0,0,,849.897766,-246.281525,10,"#00c4ff"
6VuMaDnrHyPL1p4EHjYLi7,6VuMaDnrHyPL1p4EHjYLi7,"pop, viral pop",78,22644063,Charlie Puth,0,0,0,0,0,,892.373413,-32.304497,10,"#00c4ff"
5ZsFI1h6hIdQRw2ti0hz81,5ZsFI1h6hIdQRw2ti0hz81,"pop, uk pop",74,22897195,ZAYN,0,0,0,0,0,,982.154297,57.755718,10,"#00c4ff"
4Uc8Dsxct0oMqx0P6i60ea,4Uc8Dsxct0oMqx0P6i60ea,"bedroom pop, pop, pov: indie",76,9619521,Conan Gray,31,0.058597,0.125881,603.5,0,,1024.350708,-593.961243,14.663783,"#00c4ff"
0ZUvK7zGdXLd78mQr3t1Tw,0ZUvK7zGdXLd78mQr3t1Tw,"la indie, pop, pov: indie",66,1832719,Ricky Montgomery,0,0,0,0,0,,1073.833374,-897.710022,10,"#00c4ff"
2hR4h1Cao2ueuI7Cx9c7V8,2hR4h1Cao2ueuI7Cx9c7V8,"bedroom pop, indie pop, pov: indie",67,4087996,Cavetown,0,0,0,0,0,,836.252136,-474.703186,10,"#00c4ff"
3uwAm6vQy7kWPS2bciKWx9,3uwAm6vQy7kWPS2bciKWx9,"bedroom pop, indie pop, norwegian indie, pov: indie",72,7183366,girl in red,0,0,0,0,0,,1174.996582,-961.896667,10,"#00c4ff"
0HthCchcL0kVLHTr113Vk1,0HthCchcL0kVLHTr113Vk1,"alt z, bedroom pop, indie pop, pov: indie",61,1919477,mxmtoon,0,0,0,0,0,,957.481567,-975.735901,10,"#00c4ff"
4tuJ0bMpJh08umKkEXKUI5,4tuJ0bMpJh08umKkEXKUI5,alt z,73,1790904,Gracie Abrams,0,0,0,0,0,,731.320984,-454.505554,10,"#00c4ff"
3l0CmX0FuQjFxr8SK7Vqag,3l0CmX0FuQjFxr8SK7Vqag,"bedroom pop, indie pop, pov: indie",74,4756002,Clairo,0,0,0,0,0,,1073.507202,-1007.127808,10,"#00c4ff"
0NIPkIjTV8mB795yEIiPYL,0NIPkIjTV8mB795yEIiPYL,pov: indie,70,2710620,Wallows,0,0,0,0,0,,1180.316895,-746.058167,10,"#00c4ff"
37M5pPGs6V1fchFJSgCguX,37M5pPGs6V1fchFJSgCguX,"alt z, la indie, pop, pov: indie",63,1949295,FINNEAS,0,0,0,0,0,,1139.12854,-535.58783,10,"#00c4ff"
35l9BRT7MXmM8bv2WDQiyB,35l9BRT7MXmM8bv2WDQiyB,"bedroom pop, bubblegrunge, indie pop, pov: indie",74,3501664,beabadoobee,0,0,0,0,0,,939.237732,-453.102997,10,"#00c4ff"
2vnB6tuQMaQpORiRdvXF9H,2vnB6tuQMaQpORiRdvXF9H,"bubblegrunge, chicago indie, indie pop, pov: indie",66,1423177,Beach Bunny,0,0,0,0,0,,885.245361,-674.588867,10,"#00c4ff"
2uYWxilOVlUdk4oV9DvwqK,2uYWxilOVlUdk4oV9DvwqK,"brooklyn indie, pov: indie",81,7828508,Mitski,0,0,0,0,0,,1075.719604,-795.324829,10,"#00c4ff"
77SW9BnxLY8rJ0RciFqkHh,77SW9BnxLY8rJ0RciFqkHh,"modern alternative rock, modern rock, pop",81,16315397,The Neighbourhood,0,0,0,0,0,,955.32428,-875.135437,10,"#00c4ff"
5IH6FPUwQTxPSXurCrcIov,5IH6FPUwQTxPSXurCrcIov,"alt z, pop, pov: indie",73,5044666,Alec Benjamin,0,0,0,0,0,,1130.360596,-389.671295,10,"#00c4ff"
7cYEt1pqMgXJdq00hAwVpT,7cYEt1pqMgXJdq00hAwVpT,alternative r&b,76,7231335,Chase Atlantic,0,0,0,0,0,,1015.004883,-706.470093,10,"#00c4ff"
