track_id,track_name,popularity,duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3aJw8ePBksckRdLYFP6o7U,Skinny Skinny,37,269132,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.656,0.394,-8.604,0.0292,0.772,1.17e-06,0.115,0.482,104.02
0u3mgrXYrDHdc78leUEeKY,Drive,38,314880,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.509,0.619,-6.173,0.0441,0.198,0.0614,0.193,0.388,135.011
4rhEX0wfXYvWjWAzKgS23K,Have U Found What Ur Looking For?,35,238161,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.36,0.843,-5.173,0.068,0.119,4.46e-06,0.424,0.337,159.972
726ASdk7As1ooaoMr0zuRx,SCAR,33,263893,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.453,0.7,-5.301,0.0295,0.038,0.0,0.339,0.392,88.008
1oyq661h4vBJ1Cpoav0ofs,Greyhound,32,379106,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.516,0.766,-4.826,0.0358,0.0789,0.0102,0.0897,0.339,95.004
4O9C2GcagKtfgNhwuylq8N,Matter of Time (Interlude),31,144531,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.383,0.42,-9.331,0.0275,0.905,0.719,0.0573,0.222,102.869
51CcS2bZDB9P4rGrhEBW5w,Perfect Lie,31,254494,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.654,0.489,-9.135,0.0342,0.207,0.0,0.0972,0.0525,115.954
6IRPUA6ONuOyqQ98ptGm5m,I'm to Blame,30,229383,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.509,0.945,-4.554,0.071,0.242,0.187,0.132,0.784,139.974
6osxzt4pixWFbFfQK1B50r,Sunshine,29,229025,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.362,0.328,-8.613,0.0276,0.811,0.0,0.272,0.284,163.75
0WzCiZEp7J3l0HuUvpMtGv,The Sweetness,29,328036,3zOKGDS77tYdGFQ6UJMC4E,Ashton Irwin,0NDxJDqwkBzph4AkDqbezR,Superbloom,2020-10-23,0.429,0.708,-6.264,0.034,0.115,0.00127,0.413,0.304,90.08
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,86,169353,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,6jKZplJpy21R5lHaYHHjmZ,Narrated For You,2018-11-16,0.652,0.557,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073
7pT6WSg4PCt4mr5ZFyUfsF,If We Have Each Other,78,181522,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,6jKZplJpy21R5lHaYHHjmZ,Narrated For You,2018-11-16,0.656,0.577,-5.566,0.0802,0.698,0.0,0.296,0.861,173.094
4IhKLu7Vk3j2TLmnFPl6To,Water Fountain,75,218893,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,6jKZplJpy21R5lHaYHHjmZ,Narrated For You,2018-11-16,0.723,0.504,-5.572,0.0392,0.388,7.4e-05,0.087,0.551,133.975
1zu2GKHPJIsUu80SUJX4H4,Devil Doesn’t Bargain,72,163613,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,5Wvcnn5547f6xz8F9Kz6rO,(Un)Commentary,2022-04-15,0.448,0.606,-4.565,0.0609,0.577,0.0,0.217,0.483,121.15
0WHi11uzahqpEtPGYCW6oQ,If I Killed Someone For You,70,185122,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,6jKZplJpy21R5lHaYHHjmZ,Narrated For You,2018-11-16,0.514,0.605,-5.363,0.0337,0.774,2.91e-06,0.121,0.409,120.894
1wHw3mr097ZPxxBs4vZfWp,Sacrifice Tomorrow,61,145622,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4ZavFNoQHApc5NExeJl5Xj,12 Notes,2024-05-10,0.705,0.685,-5.098,0.0453,0.103,3.16e-05,0.375,0.543,119.995
60cYr5uuMoxvyuIx45rGEW,Boy In The Bubble,68,181705,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,6jKZplJpy21R5lHaYHHjmZ,Narrated For You,2018-11-16,0.817,0.578,-7.579,0.0824,0.224,0.00103,0.251,0.851,143.982
4NuS3N2ip2WkR74a3fr3K6,Ways To Go (feat. Khalid),68,154705,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4ZavFNoQHApc5NExeJl5Xj,12 Notes,2024-05-10,0.652,0.621,-4.91,0.0386,0.635,0.0,0.069,0.747,80.033
6HHsU2AtvpnqmrItTEl0VX,I Sent My Therapist To Therapy,56,180923,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4ZavFNoQHApc5NExeJl5Xj,12 Notes,2024-05-10,0.691,0.698,-6.201,0.108,0.303,7.39e-06,0.412,0.631,76.005
5U5sa5B1sZbRuuktBGtoW6,King Size Bed,56,164184,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4ZavFNoQHApc5NExeJl5Xj,12 Notes,2024-05-10,0.699,0.874,-5.402,0.116,0.00436,0.0,0.125,0.874,77.575
2d1AiZExnhYoauaSWkB1Fm,Someday,64,183799,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,5OZ8rT5NZcYNxkf8jnIAL0,ZOMBIES (Original TV Movie Soundtrack),2018-02-16,0.772,0.806,-5.043,0.0367,0.191,0.0,0.0685,0.577,113.024
72SvoAUIQnaPJIzEspcgW6,Flesh & Bone,58,213983,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14,0.578,0.668,-7.1,0.0483,0.0344,0.0,0.13,0.369,139.914
1u6EFa4RLVRYH23FUsKe6B,Call to the Wild,58,156843,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14,0.786,0.83,-7.23,0.128,0.0939,0.0,0.118,0.933,131.0
1bFY36a62kXGJqNcN5aJkW,BAMM,56,186100,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,5OZ8rT5NZcYNxkf8jnIAL0,ZOMBIES (Original TV Movie Soundtrack),2018-02-16,0.757,0.871,-4.689,0.0362,0.000753,0.00649,0.454,0.394,124.05
5MF6bAKq8VbYQuNw7vuvb7,Ain't No Doubt About It,54,170458,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,4utT7N3IehsJfbtUhNDaeF,ZOMBIES 3 (Original Soundtrack),2022-07-15,0.786,0.671,-5.419,0.074,0.224,0.0,0.134,0.84,112.062
0Zbh5g5hEWyaofKWRIKRPM,Gotta Find Where I Belong,54,164277,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14,0.562,0.521,-8.154,0.1,0.687,9.49e-06,0.13,0.64,166.03
3IdzLdMPPep5FNregml0LU,One for All,53,172114,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14,0.759,0.836,-6.707,0.0365,0.00563,0.0,0.0646,0.851,110.063
0ZJLMe0E1GZtc45HVD7uog,Someday - Ballad,53,212793,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,5OZ8rT5NZcYNxkf8jnIAL0,ZOMBIES (Original TV Movie Soundtrack),2018-02-16,0.658,0.512,-5.818,0.0327,0.8,0.0,0.133,0.397,91.979
62DGiYjz0FU8dztf3ylFyI,We Got This,51,192280,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14,0.776,0.83,-6.871,0.0469,0.00517,0.0,0.14,0.506,114.022
1j4JQOiaOGbqx9j5VjgI92,Someday (Reprise),51,73190,0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14,0.679,0.44,-7.56,0.0282,0.89,0.0,0.119,0.379,91.914
18uwL0vNUanqZH0ro2QcOP,comethru,75,181613,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,6Whp0T7d1SAt4gDUNkWWD1,"summer,",2018-09-28,0.796,0.178,-11.991,0.0572,0.607,0.0,0.623,0.608,93.976
4CxFN5zON70B3VOPBYbd6P,you were good to me,72,219146,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,16mjtcKPxpQ4ajFHmJ0hJC,brent,2019-05-03,0.561,0.0848,-15.099,0.0404,0.913,2.62e-05,0.112,0.206,102.128
1aEsTgCsv8nOjEgyEoRCpS,this is how you fall in love,70,174586,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,0A9eIFTz09ciHqCHJNYyf2,brent ii,2021-02-05,0.441,0.202,-12.499,0.0381,0.732,2.6e-05,0.126,0.269,77.971
75ls0gurX68lUmMjE7QcsE,all the kids are depressed,69,169973,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,14lSyFVCuhvEoW7ogOIzD0,glisten,2018-05-04,0.773,0.437,-8.281,0.0976,0.835,2.17e-05,0.544,0.708,103.857
0rbKrBvZUYY9GN9l057BuY,"always, i'll care",67,146160,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,5mkf4N44kdEwYgaOk3hRLF,love is not dying,2020-04-17,0.732,0.221,-12.623,0.056,0.897,2.62e-05,0.11,0.677,105.165
7bdYxWPCs46dQ0XLwySOyv,better off,60,193946,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,14lSyFVCuhvEoW7ogOIzD0,glisten,2018-05-04,0.707,0.322,-12.46,0.0371,0.745,9.26e-05,0.137,0.459,98.892
7cflqPPi3zWfLFRRBTWeh6,talk is overrated,58,189800,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,77EcAn5H4pGamI8JiwvP4T,idle,2017-10-27,0.776,0.355,-8.319,0.0685,0.436,0.0,0.301,0.663,138.036
6r2JV75tE0vNgNCv4HKsBC,scared,57,207520,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,16mjtcKPxpQ4ajFHmJ0hJC,brent,2019-05-03,0.583,0.075,-15.843,0.0726,0.933,1.4e-06,0.111,0.347,108.418
0PgYPBGqF6Wm5KFHQ81nq5,comethru (with Bea Miller),56,181626,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,10Dr3GO6OzrOwJwoY11IoH,comethru,2019-03-15,0.757,0.192,-11.842,0.0515,0.572,0.0,0.606,0.595,94.024
6W4SftknKhWj0iFoHN7aYU,that way - with Jeremy Zucker,56,174299,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,0XiGU8X2kdQscNbohqwyIs,that way (with Jeremy Zucker),2021-09-03,0.394,0.398,-10.202,0.219,0.573,0.0,0.313,0.361,78.438
0EcQcdcbQeVJn9fknj44Be,I Like Me Better,81,197436,5JZ7CnR6gTvEMKX4g70Amv,Lauv,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),2018-05-31,0.753,0.505,-7.621,0.255,0.534,2.58e-06,0.104,0.419,91.972
0SccFtYdj75y6lL2OW10Cf,Steal The Show,75,192506,5JZ7CnR6gTvEMKX4g70Amv,Lauv,7L15PXtti3kXEn7vTXi8ZV,Elemental (Original Motion Picture Soundtrack),2023-06-16,0.618,0.462,-13.154,0.0328,0.332,0.000862,0.279,0.419,92.489
7D7oIpsm4trbxthAU7JMtB,Potential,73,177662,5JZ7CnR6gTvEMKX4g70Amv,Lauv,7k0D9VjRqVMbhg0uNMiq3O,Potential,2024-04-24,0.597,0.648,-4.967,0.0418,0.014,0.0,0.064,0.0878,81.982
